SMILES,vbur_far_vtot_boltz
P(c1ccncc1)(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1ccncc1),26.763937
P(c1c(N(C)C)cccc1N(C)C)(c1ccccc1N1CCCCC1)(c1c(N(C)C)cccc1N(C)C),50.23787
P(c1ccccc1)(c1c(N(C)C)cccc1N(C)C)(c1ccccc1),7.2753263
P(c1ccncc1)(c1ccccc1C)(c1ccncc1),16.752151
P(c1ccccc1)(c1nn(-c2ccccc2)cc1)(c1ccccc1),15.101841
P(c1ccccc1)(C(C)C)(c1ccccc1),2.337424
P(c1ccccc1)(c1nn(-c2ccccc2)cc1)(c1ccccc1),15.101841
P(c1c(OC(C)C)cccc1OC(C)C)(c1ccncc1)(c1c(OC(C)C)cccc1OC(C)C),44.081722
P(c1nn(-c2ccccc2)cc1)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1nn(-c2ccccc2)cc1),34.600964
P(c1ccc(N(C)C)cc1N(C)C)(c1ccncc1)(c1ccc(N(C)C)cc1N(C)C),4.9441557
P(c1ccccc1C)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1ccccc1C),31.369884
P(c1ccccc1)(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1ccccc1),26.795252
P(c1ccccc1)(N1CCCCC1)(c1ccccc1),1.3562716
P(N1CCCCC1)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(N1CCCCC1),21.769882
P(c1cccc(OC(C)C)c1)(c1c(OCC)cccc1OCC)(c1cccc(OC(C)C)c1),27.67652
P(c1cccc(OC(C)C)c1)(c1ccccc1N1CCCCC1)(c1cccc(OC(C)C)c1),45.031628
P(c1c2ccccc2cc2ccccc12)(c1nn(-c2ccccc2)cc1)(c1c2ccccc2cc2ccccc12),57.458195
P(c1ccccc1)(c1ccccc1N(C)C)(c1ccccc1),16.8076
P(c1ccc(-c2ccccc2)cc1)(c1cccc(OC(C)C)c1)(c1ccc(-c2ccccc2)cc1),3.3611076
P(c1ccc(N(C)C)cc1N(C)C)(c1nn(-c2ccccc2)cc1)(c1ccc(N(C)C)cc1N(C)C),34.123695
P(c1ccccc1)(c1ccccc1C)(c1ccccc1),0.1563827
P(c1ccc(N(C)C)cc1N(C)C)(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1ccc(N(C)C)cc1N(C)C),45.81534
P(c1ccccc1)(c1ccccc1N1CCCCC1)(c1ccccc1),39.204758
P(c1ccc(N(C)C)cc1N(C)C)(N1CCCCC1)(c1ccc(N(C)C)cc1N(C)C),16.509602
P(c1ccccc1)(c1ccncc1)(c1ccccc1),-0.5220973
P(c1c(OC)cccc1OC)(c1ccccc1)(c1c(OC)cccc1OC),10.979788
P(c1ccncc1)(c1nn(-c2ccccc2)cc1)(c1ccncc1),15.133691
P(c1cccc(OC(C)C)c1)(c1ccccc1N(C)C)(c1cccc(OC(C)C)c1),17.78214
P(c1ccccc1)(c1c(OCC)cccc1OCC)(c1ccccc1),14.706994
P(c1ccccc1)(N1CCCCC1)(c1ccccc1),1.3562716
P(c1ccccc1C)(C(C)C)(c1ccccc1C),4.7920585
P(c1ccccc1)(c1c(-c2ccccc2)nn(-c2ccccc2)c1-c1ccccc1)(c1ccccc1),29.803984
P(c1ccccc1)(c1ccccc1C)(c1ccccc1),0.1563827
P(c1ccc(N(C)C)cc1N(C)C)(C(C)C)(c1ccc(N(C)C)cc1N(C)C),7.245285
P(c1cccc(OC(C)C)c1)(n1nc(-c2ccccc2)cc1-c1ccccc1)(c1cccc(OC(C)C)c1),29.67278
P(c1c(OCC)cccc1OCC)(c1ccccc1N(C)C)(c1c(OCC)cccc1OCC),36.851532
P(c1ccccc1N1CCCCC1)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1ccccc1N1CCCCC1),66.708496
P(c1ccccc1)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1ccccc1),27.409286
P(c1ccc(-c2ccccc2)cc1)(c1nn(-c2ccccc2)cc1)(c1ccc(-c2ccccc2)cc1),24.590641
P(c1ccc(-c2ccccc2)cc1)(c1ccccc1)(c1ccc(-c2ccccc2)cc1),-0.42913306
P(c1ccccc1N1CCCCC1)(c1nn(-c2ccccc2)cc1)(c1ccccc1N1CCCCC1),62.79201
P(c1ccncc1)(c1ccc(-c2cc(-c3ccccc3)n(-c3ccccc3)n2)cc1)(c1ccncc1),31.94089
P(c1ccccc1)(c1ccccc1)(c1ccccc1),-0.5094065
P(c1c(OC)cccc1OC)(c1c(N(C)C)cccc1N(C)C)(c1c(OC)cccc1OC),27.19456
P(c1cccc(OC(C)C)c1)(c1c(OC(C)C)cccc1OC(C)C)(c1cccc(OC(C)C)c1),41.72948
P(c1ccc(N(C)C)cc1N(C)C)(c1ccccc1N1CCCCC1)(c1ccc(N(C)C)cc1N(C)C),56.3117
P(c1c(N(C)C)cccc1N(C)C)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1c(N(C)C)cccc1N(C)C),25.631865
P(c1ccccc1N1CCCCC1)(c1c(OCC)cccc1OCC)(c1ccccc1N1CCCCC1),51.5642
